EAN,Produto,Preço,Promoção,Link,Status
7892840820183,,,,,Não encontrado
7898031310891,,,,,Não encontrado
7895144859934,,,,,Não encontrado
7897512900491,,,,,Não encontrado
0070341149065,,,,,Não encontrado
7896007550036,Roupa Íntima Plenitud Femme G/XG 16 Unidades,"R$ 62,99","R$ 81,59",https://www.drogariasaopaulo.com.br/roupa-intima-plenitud-femme-gxg--leve-mais-por-menos-16un-kimberly-clark-brasil/p,Encontrado
17894900530008,,,,,Não encontrado
7896012877586,,,,,Não encontrado
7895144228518,Bala sabor Morango com Vitamina-C caixa com 15 unidades de 41g - Fruit-Tella Swirl,"R$ 41,74",,https://www.drogariasaopaulo.com.br/bala-sabor-morango-com-vitamina-c-caixa-com-15-unidades-de-41g---fruit-tella-swirl-935314530/p,Encontrado
7896094907713,,,,,Não encontrado
7702031244653,Talco Pó Dermo Protetor Johnson's Baby Hora Do Sono 100g,"R$ 28,99",,https://www.drogariasaopaulo.com.br/talco-po-dermo-protetor-johnson-s-baby-hora-do-sono-100g/p,Encontrado
7500435251938,,,,,Não encontrado
8410104274160,Creme Depilatório Corporal Veet Pure & Fresh Peles Delicadas 200ml,"R$ 58,19","R$ 76,99",https://www.drogariasaopaulo.com.br/creme-depilatorio-veet-pure---fresh-pernas-e-corpo-200ml/p,Encontrado
7896306624407,Chocolate sabor Avelã dark caixa com 12 unidades de 26g - Trento Speciale,"R$ 48,98",,https://www.drogariasaopaulo.com.br/chocolate-sabor-avela-dark-caixa-com-12-unidades-de-26g---trento-speciale-935301016/p,Encontrado
7898677731920,,,,,Não encontrado
7891010248130,Protetor Solar Corpo e Rosto Neostrata FPS 99 Minesol 200ml Fluido,"R$ 124,49","R$ 175,99",https://www.drogariasaopaulo.com.br/protetor-solar-fluido-hidratante-antioxidante-neostrata-minesol-corpo-e-rosto-fps99-200ml/p,Encontrado
7896094921351,Engov After Berry Vibes 250ml,"R$ 11,99",,https://www.drogariasaopaulo.com.br/engov-after-berry-vibes-250ml/p,Encontrado
7898949409557,Sabonete Barra Asepxia Antioleosidade 80g,"R$ 10,39","R$ 12,99",https://www.drogariasaopaulo.com.br/sabonete-asepxia-enxofre-90g/p,Encontrado
7892840822798,,,,,Não encontrado
7891010244361,Protetor Solar Sundown Praia e Piscina FPS70 200ml,"R$ 60,79","R$ 87,99",https://www.drogariasaopaulo.com.br/protetor-solar-sundown-fps-70-200ml/p,Encontrado
7896094928367,Energético Engov Up Melancia 269ml,"R$ 8,90","R$ 8,99",https://www.drogariasaopaulo.com.br/energetico-engov-up-melancia-269ml/p,Encontrado
7894900680508,Refrigerante Sprite Lemon Fresh 510ml,"R$ 6,99",,https://www.drogariasaopaulo.com.br/refrigerante-sprite-lemon-fresh-510ml/p,Encontrado
0000078922693,,,,,Não encontrado
7896512949417,Sabonete Líquido Granado Bebê Tradicional 500ml,"R$ 42,99","R$ 47,99",https://www.drogariasaopaulo.com.br/sabonete-liquido-granado-bebe-tradicional--500ml/p,Encontrado
7891000320242,Snack Mucilon Meu Primeiro Lanchinho Tradicional 35g,"R$ 5,59",,https://www.drogariasaopaulo.com.br/mucilon-meu-primeiro-lanchinho-milho-35g/p,Encontrado
7898193070558,,,,,Não encontrado
7891010253202,Protetor Solar Facial Neutrogena Sun Fresh Pele Clara FPS70 40g,"R$ 54,59","R$ 73,99",https://www.drogariasaopaulo.com.br/protetor-solar-facial-neutrogena-sun-fresh-pele-clara-fps70-40g/p,Encontrado
7894900508017,Isotônico Powerade Fifa World Cup Qatar 2022 Frutas Tropicais 500ml,"R$ 9,99",,https://www.drogariasaopaulo.com.br/isotonico-powerade-fifa-world-cup-qatar-2022-frutas-tropicais-500ml/p,Encontrado
7891800375282,,,,,Não encontrado
7896444210623,,,,,Não encontrado
7896306623769,,,,,Não encontrado
7896224411271,,,,,Não encontrado
7898960913187,,,,,Não encontrado
7898582291953,,,,,Não encontrado
7897835700518,,,,,Não encontrado
7898322240012,,,,,Não encontrado
7891008331028,,,,,Não encontrado
7896685302743,,,,,Não encontrado
7896044963516,,,,,Não encontrado
7899706159173,Creme Hidratante Corporal CeraVe Hidratação 24h e Textura Leve 200g,"R$ 63,99","R$ 82,99",https://www.drogariasaopaulo.com.br/creme-hidratante-cerave-200-gr-loreal-brasil/p,Encontrado
7896094928350,Energético Engov Up Morango e Kiwi 269ml,"R$ 8,99",,https://www.drogariasaopaulo.com.br/energetico-engov-up-morango-e-kiwi-269ml/p,Encontrado
7891106913522,Creme Hidratante Bepantol Derma Toque Seco Oil Free 30g,"R$ 35,19","R$ 49,99",https://www.drogariasaopaulo.com.br/creme-hidratante-bepantol-toque-seco-30gr-bayer-atual/p,Encontrado
7896012879979,,,,,Não encontrado
7894900700046,,,,,Não encontrado
7899706237956,Tinta de Cabelo L' Oréal Paris Imédia Excellence Sem Amônia 6U Louro Escuro Universal,"R$ 24,99","R$ 38,59",https://www.drogariasaopaulo.com.br/tintura-loreal-paris-imedia-excellence-permanente-sem-amonia-6u-1-unidade/p,Encontrado
7891000071625,Fórmula Infantil NAN Comfor HMO de 0 a 6 Meses 800g,"R$ 69,90",,https://www.drogariasaopaulo.com.br/formula-infantil-nan-comfor-1-lata-800g/p,Encontrado
7897042007325,Desodorante Skala Roll-On Antitranspirante Proteínas Do Leite - 60ml,"R$ 7,20",,https://www.drogariasaopaulo.com.br/desodorante-skala-roll-on-antitranspirante-proteinas-do-leite---60ml-935278645/p,Encontrado
7891142205704,Protetor Solar Facial Episol FPS 70 Color Tom 3 Médio 40g,"R$ 86,99","R$ 94,90",https://www.drogariasaopaulo.com.br/protetor-solar-episol-color-tom-3-medio-70-fps-40g/p,Encontrado
7898108612422,Hastes Flexíveis Sancare - 75 Unidades,"R$ 3,20","R$ 4,44",https://www.drogariasaopaulo.com.br/hastes-flexiveis-sancare---75-unidades-935172337/p,Encontrado
7891772156230,,,,,Não encontrado
7506306214989,,,,,Erro: TimeoutError
7899026457645,Creme de Tratamento Elseve L'Oréal Paris Elseve Reparação Total 5 300g,"R$ 29,99","R$ 32,59",https://www.drogariasaopaulo.com.br/creme-de-tratamento-elseve-reparacao-total-5-300ml/p,Encontrado
